StaffID,Age,Gender,Department,Role,StoreRegion,EmploymentType,ShiftType,WeeklyHours,HourlyWage,TenureMonths,ManagerRating,TrainingHoursLastYear,CommuteMinutes,EngagementScore,CustomerSatRating
24,43,Male,Sales Floor,Department Lead,West Coast,Full-Time,Afternoon,45,16.93,153,1,24,87,3.8,3.6
25,62,Female,Warehouse,Receiving Clerk,Southwest,Full-Time,Morning,45,16.02,93,5,16,80,6.7,
26,39,Male,HR,Training Coordinator,Midwest,Full-Time,Morning,40,24.49,136,4,27,25,5.7,
27,38,Non-Binary,Warehouse,Shift Supervisor,Northeast,Full-Time,Rotating,40,16.97,39,2,8,38,2.0,
28,35,Female,Customer Service,CS Representative,Northeast,Part-Time,Morning,25,26.41,136,5,34,39,7.7,2.7
29,60,Non-Binary,Sales Floor,Department Lead,West Coast,Full-Time,Morning,45,29.88,196,4,38,36,5.9,3.8
30,59,Non-Binary,HR,HR Generalist,Midwest,Full-Time,Morning,35,17.36,233,2,13,41,5.0,
31,39,Male,Finance,Accountant,Northeast,Part-Time,Afternoon,30,38.58,97,4,37,80,5.7,
32,37,Male,Sales Floor,Cashier,West Coast,Full-Time,Morning,45,31.22,108,3,27,62,6.1,2.7
33,51,Female,Sales Floor,Department Lead,West Coast,Part-Time,Afternoon,30,15.17,222,3,39,70,6.0,3.6
34,22,Female,Customer Service,Returns Specialist,West Coast,Part-Time,Rotating,20,23.57,12,2,5,38,4.2,2.5
35,43,Non-Binary,Warehouse,Warehouse Worker,Southwest,Full-Time,Rotating,45,30.38,91,1,13,7,3.9,
36,59,Female,Customer Service,Call Center Agent,Midwest,Part-Time,Rotating,30,12.79,26,5,20,29,3.2,3.5
37,49,Female,IT,POS Technician,West Coast,Part-Time,Evening,20,24.27,99,2,36,51,3.9,
38,50,Non-Binary,Warehouse,Shift Supervisor,Northeast,Full-Time,Morning,40,29.1,191,2,36,36,4.4,
39,61,Non-Binary,HR,Training Coordinator,Southeast,Full-Time,Rotating,35,19.06,164,5,32,20,5.5,
40,44,Female,Sales Floor,Department Lead,West Coast,Full-Time,Afternoon,50,20.71,208,2,26,73,2.9,2.9
41,65,Non-Binary,Sales Floor,Store Manager,West Coast,Full-Time,Evening,50,24.7,156,5,2,25,6.0,3.7
42,23,Female,Sales Floor,Cashier,Southwest,Full-Time,Morning,35,23.28,44,1,8,54,4.0,3.4
43,35,Male,Warehouse,Inventory Analyst,Southeast,Full-Time,Evening,40,24.43,25,1,13,28,4.0,
44,47,Male,Finance,Controller,Southwest,Full-Time,Morning,45,33.19,220,3,30,66,5.5,
45,18,Non-Binary,Sales Floor,Store Associate,Midwest,Part-Time,Evening,25,21.37,1,4,1,15,5.6,3.9
46,59,Non-Binary,Warehouse,Receiving Clerk,Midwest,Full-Time,Afternoon,45,26.94,57,3,9,22,6.0,
47,41,Non-Binary,Sales Floor,Department Lead,Southeast,Full-Time,Rotating,35,27.4,227,3,23,62,6.7,3.6
48,23,Non-Binary,Customer Service,Returns Specialist,Southeast,Full-Time,Evening,35,20.64,7,4,12,72,6.1,2.6
49,50,Non-Binary,HR,HR Manager,West Coast,Part-Time,Evening,25,27.68,224,3,29,47,7.6,
50,37,Female,Sales Floor,Visual Merchandiser,West Coast,Part-Time,Rotating,20,19.67,115,2,37,27,3.1,4.3
51,63,Female,Warehouse,Warehouse Worker,Southwest,Full-Time,Rotating,40,17.8,171,4,28,72,6.1,
52,32,Male,Sales Floor,Cashier,Northeast,Full-Time,Evening,40,17.81,147,5,8,13,6.2,4.1
53,23,Female,Sales Floor,Department Lead,Northeast,Full-Time,Evening,35,21.89,40,2,25,30,4.6,3.9
54,54,Non-Binary,Supply Chain,Buyer,Midwest,Full-Time,Rotating,40,23.4,160,4,35,85,4.5,
55,19,Non-Binary,Marketing,Marketing Manager,Northeast,Part-Time,Evening,25,37.36,2,5,3,55,6.0,
56,20,Non-Binary,Warehouse,Inventory Analyst,West Coast,Full-Time,Rotating,35,24.65,19,1,32,6,4.9,
57,28,Male,Marketing,Digital Marketing Specialist,Midwest,Full-Time,Afternoon,35,36.75,85,5,25,59,7.6,
58,47,Female,Finance,Financial Analyst,Northeast,Part-Time,Rotating,25,26.14,32,2,16,31,5.0,
59,46,Male,Marketing,Social Media Coordinator,Southwest,Full-Time,Evening,45,24.99,55,3,34,66,4.6,
60,63,Male,Marketing,Marketing Manager,Midwest,Full-Time,Rotating,40,32.82,166,4,4,85,7.2,
61,34,Male,Supply Chain,Procurement Analyst,Southwest,Full-Time,Rotating,45,31.59,101,5,31,90,5.1,
62,32,Female,HR,Recruiter,Midwest,Full-Time,Rotating,35,25.13,95,2,3,32,5.2,
63,52,Female,Marketing,Brand Analyst,Midwest,Full-Time,Rotating,35,22.24,115,5,5,12,6.1,
64,64,Female,HR,HR Manager,Midwest,Part-Time,Morning,25,19.58,107,3,39,86,4.8,
65,54,Male,Marketing,Digital Marketing Specialist,Northeast,Full-Time,Afternoon,45,29.68,102,3,16,33,6.7,
66,43,Male,Customer Service,Returns Specialist,Southwest,Part-Time,Morning,20,19.88,56,1,3,50,3.6,3.5
67,37,Non-Binary,Warehouse,Shift Supervisor,Northeast,Part-Time,Morning,20,26.82,215,3,12,65,7.0,
68,58,Female,Warehouse,Forklift Operator,Southwest,Full-Time,Afternoon,40,23.91,228,5,34,55,5.1,
69,63,Male,Sales Floor,Visual Merchandiser,West Coast,Full-Time,Morning,35,31.71,198,5,24,82,7.9,4.2
70,21,Female,IT,IT Manager,Northeast,Part-Time,Afternoon,25,24.41,9,2,25,70,3.9,
71,33,Non-Binary,Warehouse,Forklift Operator,Northeast,Part-Time,Evening,20,21.99,112,1,8,82,3.2,
72,40,Female,Customer Service,CS Representative,West Coast,Full-Time,Rotating,40,21.46,204,3,21,76,5.0,4.2
73,49,Non-Binary,Supply Chain,Buyer,West Coast,Full-Time,Morning,45,29.96,172,2,0,90,5.9,
74,27,Female,Supply Chain,Demand Planner,Midwest,Full-Time,Rotating,35,21.96,70,3,12,49,4.5,
75,60,Male,Supply Chain,Logistics Coordinator,West Coast,Part-Time,Rotating,30,17.54,80,3,20,9,4.8,
76,40,Male,HR,HR Generalist,West Coast,Full-Time,Morning,35,12.98,186,5,30,45,4.8,
77,25,Female,Marketing,Brand Analyst,West Coast,Part-Time,Morning,30,22.03,84,5,26,67,5.7,
78,46,Female,Warehouse,Receiving Clerk,Southeast,Part-Time,Rotating,30,28.6,137,3,24,47,5.5,
79,30,Female,Marketing,Social Media Coordinator,Southeast,Part-Time,Afternoon,25,37.93,123,2,32,19,5.2,
80,36,Male,Sales Floor,Cashier,Southeast,Part-Time,Morning,30,15.29,81,1,20,86,5.3,4.0
81,56,Female,Customer Service,Call Center Agent,Southeast,Part-Time,Evening,30,23.75,20,4,24,7,6.2,3.6
82,37,Non-Binary,Customer Service,CS Representative,Southwest,Part-Time,Afternoon,30,19.3,125,5,33,49,6.1,4.0
83,46,Female,Marketing,Brand Analyst,Midwest,Part-Time,Afternoon,25,34.31,30,3,16,81,5.6,
84,29,Female,Sales Floor,Visual Merchandiser,Midwest,Part-Time,Rotating,30,21.53,87,4,40,25,5.1,3.2
85,23,Male,Warehouse,Warehouse Worker,West Coast,Part-Time,Rotating,30,21.86,60,5,14,21,4.2,
86,18,Non-Binary,Supply Chain,Buyer,West Coast,Part-Time,Evening,30,14.27,1,2,24,46,2.8,
87,37,Male,Sales Floor,Store Manager,Midwest,Full-Time,Evening,35,29.19,48,4,6,22,7.0,4.3
88,33,Non-Binary,HR,HR Manager,Midwest,Full-Time,Evening,45,15.89,52,3,39,65,4.6,
89,43,Non-Binary,Marketing,Marketing Manager,West Coast,Full-Time,Afternoon,35,24.76,208,4,0,72,6.2,
90,62,Male,Warehouse,Receiving Clerk,Southeast,Full-Time,Rotating,50,21.3,202,4,15,11,4.8,
91,19,Female,Finance,Controller,Southwest,Full-Time,Rotating,40,33.57,10,3,21,6,6.0,
92,46,Non-Binary,Sales Floor,Department Lead,Northeast,Full-Time,Afternoon,40,15.14,181,1,5,7,4.4,4.0
93,27,Female,Supply Chain,Logistics Coordinator,Midwest,Part-Time,Afternoon,30,19.72,58,1,21,84,3.4,
94,47,Non-Binary,Warehouse,Warehouse Worker,Northeast,Part-Time,Evening,25,23.02,114,4,10,40,5.3,
95,50,Non-Binary,HR,HR Manager,Northeast,Part-Time,Evening,20,18.59,172,3,12,75,5.2,
96,27,Female,Warehouse,Receiving Clerk,Southwest,Full-Time,Afternoon,45,30.91,56,1,29,8,5.3,
97,22,Female,Customer Service,Call Center Agent,Southeast,Part-Time,Morning,30,22.95,9,1,11,66,3.7,3.9
98,27,Male,Sales Floor,Visual Merchandiser,West Coast,Full-Time,Evening,50,26.5,15,1,14,65,3.5,2.9
99,31,Non-Binary,Customer Service,Returns Specialist,West Coast,Full-Time,Rotating,40,25.67,9,4,33,20,5.6,3.8
100,48,Non-Binary,Warehouse,Shift Supervisor,Southwest,Full-Time,Evening,40,20.98,96,2,20,42,5.5,
101,60,Female,Marketing,Social Media Coordinator,Southwest,Full-Time,Evening,50,26.11,34,5,39,69,5.9,
102,39,Female,Customer Service,CS Manager,Southeast,Full-Time,Evening,40,27.68,125,1,33,7,4.0,4.1
103,55,Male,Sales Floor,Cashier,Midwest,Full-Time,Morning,35,12.28,63,4,7,16,4.9,4.2
104,46,Male,Customer Service,CS Representative,Midwest,Part-Time,Evening,20,12.83,170,3,35,43,5.0,4.6
105,54,Non-Binary,Customer Service,CS Representative,Southwest,Full-Time,Morning,50,19.69,160,3,39,35,5.2,4.0
106,59,Non-Binary,Finance,Accountant,Southeast,Full-Time,Afternoon,40,33.21,101,2,19,51,5.2,
107,22,Male,Marketing,Digital Marketing Specialist,Midwest,Part-Time,Afternoon,30,42.06,19,5,40,57,6.6,
108,31,Non-Binary,Marketing,Brand Analyst,Midwest,Part-Time,Morning,30,42.75,152,5,34,58,6.3,
109,21,Non-Binary,Customer Service,CS Representative,Southwest,Part-Time,Rotating,25,21.96,33,5,32,19,6.1,2.5
110,58,Male,Sales Floor,Store Associate,Southeast,Part-Time,Evening,30,14.17,140,1,23,11,3.7,3.0
111,27,Non-Binary,Warehouse,Forklift Operator,Northeast,Full-Time,Afternoon,35,14.54,45,4,37,69,5.2,
112,37,Non-Binary,Warehouse,Shift Supervisor,West Coast,Part-Time,Evening,30,23.11,126,5,32,83,6.9,
113,24,Female,Sales Floor,Department Lead,Southwest,Full-Time,Morning,45,15.45,55,1,16,37,4.8,4.8
114,24,Non-Binary,Sales Floor,Department Lead,Midwest,Full-Time,Afternoon,35,17.68,48,5,40,23,6.3,3.4
115,23,Male,Customer Service,Returns Specialist,Midwest,Full-Time,Morning,45,30.64,43,5,2,37,6.6,4.5
116,33,Female,Customer Service,CS Manager,Southwest,Full-Time,Rotating,50,26.72,153,2,30,90,3.6,3.3
117,62,Male,Sales Floor,Store Manager,Southwest,Part-Time,Afternoon,30,17.65,32,3,24,16,5.1,3.3
118,23,Male,HR,HR Manager,Southeast,Full-Time,Evening,50,29.26,14,3,22,14,5.3,
119,48,Male,Finance,Financial Analyst,Southeast,Part-Time,Morning,30,33.58,87,1,32,40,4.4,
120,30,Male,Warehouse,Forklift Operator,Southwest,Part-Time,Evening,20,25.28,53,5,13,67,7.0,
121,33,Non-Binary,Warehouse,Forklift Operator,Southwest,Full-Time,Afternoon,45,14.51,63,4,27,61,5.4,
122,52,Female,Finance,Financial Analyst,Southwest,Full-Time,Rotating,40,25.47,115,5,18,39,6.2,
123,50,Male,Sales Floor,Cashier,Southwest,Full-Time,Morning,45,18.61,67,4,28,87,5.1,3.5
124,48,Non-Binary,Warehouse,Forklift Operator,Northeast,Part-Time,Morning,30,18.05,116,2,35,73,4.8,
125,19,Non-Binary,Supply Chain,Procurement Analyst,West Coast,Full-Time,Rotating,35,22.81,2,1,10,36,4.2,
126,59,Female,Sales Floor,Visual Merchandiser,West Coast,Full-Time,Evening,50,13.44,224,2,36,66,1.9,3.4
127,61,Non-Binary,Customer Service,CS Representative,Northeast,Part-Time,Rotating,20,20.4,97,4,22,12,6.3,3.0
128,49,Male,Sales Floor,Store Manager,Midwest,Part-Time,Afternoon,25,30.47,142,5,9,59,6.8,3.3
129,21,Non-Binary,IT,Systems Administrator,Northeast,Part-Time,Evening,20,33.04,34,5,37,68,6.0,
130,54,Non-Binary,Supply Chain,Procurement Analyst,Northeast,Full-Time,Rotating,40,15.68,157,4,33,55,5.0,
131,61,Male,Sales Floor,Cashier,West Coast,Part-Time,Afternoon,25,12.84,239,4,12,11,4.7,4.9
132,18,Non-Binary,Customer Service,CS Manager,West Coast,Full-Time,Morning,45,18.83,1,4,11,55,5.8,4.5
133,36,Non-Binary,Sales Floor,Department Lead,Southwest,Full-Time,Evening,45,20.98,132,5,33,83,5.6,3.8
134,27,Non-Binary,Sales Floor,Department Lead,Southeast,Part-Time,Afternoon,25,23.5,77,2,20,37,5.1,4.2
135,41,Male,Sales Floor,Department Lead,Southwest,Full-Time,Afternoon,40,22.12,75,3,23,81,5.4,3.5
136,65,Non-Binary,Warehouse,Receiving Clerk,Southeast,Part-Time,Rotating,25,20.22,70,5,33,35,6.0,
137,33,Male,Sales Floor,Department Lead,West Coast,Part-Time,Rotating,30,12.27,139,4,2,83,4.0,4.4
138,63,Male,HR,Training Coordinator,West Coast,Part-Time,Morning,30,16.19,129,1,23,58,3.4,
139,57,Female,Warehouse,Warehouse Worker,Northeast,Full-Time,Afternoon,50,30.37,174,3,11,5,6.7,
140,22,Non-Binary,Sales Floor,Visual Merchandiser,Southeast,Part-Time,Evening,25,19.73,25,2,14,19,3.7,4.6
141,18,Non-Binary,IT,Systems Administrator,Northeast,Part-Time,Rotating,20,35.85,1,5,18,45,7.0,
142,53,Male,Marketing,Brand Analyst,Northeast,Part-Time,Morning,20,40.72,19,4,28,34,6.4,
143,48,Non-Binary,Warehouse,Inventory Analyst,Northeast,Part-Time,Rotating,25,15.64,205,1,15,88,4.3,
144,24,Female,HR,HR Manager,Southwest,Full-Time,Rotating,35,26.85,7,1,10,42,4.0,
145,20,Female,Sales Floor,Department Lead,West Coast,Part-Time,Rotating,20,18.74,12,4,39,84,5.9,2.9
146,51,Non-Binary,Sales Floor,Store Associate,Midwest,Full-Time,Morning,35,26.57,119,1,30,18,4.1,4.7
147,62,Non-Binary,Sales Floor,Store Manager,Midwest,Full-Time,Evening,50,29.74,207,4,13,14,6.5,4.9
148,61,Male,Sales Floor,Visual Merchandiser,Northeast,Full-Time,Rotating,40,18.21,105,1,34,50,2.6,4.9
149,43,Male,Customer Service,CS Representative,Southwest,Full-Time,Morning,35,19.74,227,1,7,18,4.2,3.0
150,28,Non-Binary,Marketing,Marketing Manager,Southwest,Full-Time,Afternoon,50,30.76,4,4,16,6,6.2,
151,43,Non-Binary,Supply Chain,Buyer,Southeast,Full-Time,Morning,40,29.46,186,5,9,42,6.0,
152,34,Female,Sales Floor,Store Associate,Northeast,Full-Time,Evening,45,25.18,122,2,17,72,5.7,4.9
153,45,Female,Sales Floor,Store Associate,Northeast,Full-Time,Evening,35,16.49,236,5,22,17,5.3,4.5
154,38,Male,Supply Chain,Logistics Coordinator,Southwest,Full-Time,Morning,45,21.9,38,4,16,46,6.3,
155,38,Non-Binary,Supply Chain,Buyer,West Coast,Part-Time,Rotating,20,18.47,3,3,6,17,3.8,
156,59,Non-Binary,Sales Floor,Store Manager,Midwest,Full-Time,Afternoon,40,27.14,109,4,34,81,6.9,2.5
157,21,Male,Marketing,Social Media Coordinator,Southwest,Full-Time,Afternoon,50,38.0,8,3,40,40,6.1,
158,59,Non-Binary,Sales Floor,Store Manager,Midwest,Part-Time,Rotating,25,27.18,213,1,27,69,4.4,3.7
159,34,Female,Warehouse,Inventory Analyst,Northeast,Full-Time,Afternoon,35,13.65,2,1,33,46,3.2,
160,54,Female,Customer Service,Returns Specialist,Southeast,Full-Time,Evening,40,25.14,6,5,22,66,6.0,3.4
161,43,Non-Binary,Warehouse,Forklift Operator,Southwest,Part-Time,Morning,30,16.11,130,5,38,86,6.1,
162,35,Male,Sales Floor,Visual Merchandiser,Midwest,Part-Time,Rotating,25,21.76,10,5,1,70,5.7,4.1
163,25,Male,Warehouse,Forklift Operator,Northeast,Full-Time,Morning,35,23.65,20,5,8,75,6.1,
164,39,Female,Sales Floor,Store Associate,Southeast,Full-Time,Rotating,35,18.92,100,2,33,49,2.4,4.6
165,30,Male,Marketing,Brand Analyst,Northeast,Full-Time,Afternoon,35,26.34,72,2,20,88,4.6,
166,18,Non-Binary,Marketing,Brand Analyst,Southeast,Part-Time,Afternoon,20,42.62,1,3,7,52,6.1,
167,39,Female,Marketing,Brand Analyst,Southeast,Full-Time,Evening,50,44.06,13,3,14,87,6.3,
168,49,Non-Binary,Warehouse,Receiving Clerk,Southwest,Part-Time,Afternoon,30,25.43,156,2,31,31,5.4,
169,55,Male,Sales Floor,Store Associate,Southeast,Part-Time,Morning,25,14.07,39,1,15,88,3.6,4.1
170,34,Male,Warehouse,Warehouse Worker,Southeast,Full-Time,Evening,50,28.65,104,3,6,26,4.5,
171,51,Male,Supply Chain,Logistics Coordinator,Southeast,Full-Time,Evening,45,29.2,193,4,3,78,6.5,
172,46,Non-Binary,IT,POS Technician,West Coast,Full-Time,Afternoon,35,27.18,133,1,27,75,4.0,
173,24,Non-Binary,Sales Floor,Store Associate,Midwest,Full-Time,Morning,50,28.85,30,5,34,76,5.5,3.3
174,52,Female,Sales Floor,Cashier,Southeast,Part-Time,Morning,25,16.18,32,3,36,39,4.8,2.7
175,19,Female,Finance,Financial Analyst,Midwest,Full-Time,Rotating,45,29.38,8,2,22,46,4.2,
176,50,Female,Customer Service,CS Representative,Northeast,Full-Time,Afternoon,40,26.92,8,3,3,22,6.3,3.8
177,39,Male,Warehouse,Receiving Clerk,Southeast,Full-Time,Rotating,40,16.38,132,1,23,59,4.5,
178,19,Non-Binary,Sales Floor,Store Associate,Southwest,Full-Time,Rotating,35,29.83,7,4,13,34,5.9,2.7
179,39,Male,Sales Floor,Store Associate,West Coast,Part-Time,Afternoon,20,16.9,87,1,12,37,4.1,3.0
180,49,Male,IT,IT Support,Southeast,Part-Time,Afternoon,20,34.38,147,2,3,6,3.8,
181,35,Female,HR,HR Manager,Southeast,Part-Time,Evening,25,20.63,115,3,30,36,6.0,
182,26,Non-Binary,Sales Floor,Cashier,Midwest,Part-Time,Morning,30,29.82,74,4,39,86,5.6,3.5
183,53,Female,Marketing,Brand Analyst,Southwest,Full-Time,Morning,45,44.43,209,3,0,73,6.6,
184,38,Male,Customer Service,Returns Specialist,Midwest,Full-Time,Evening,50,20.93,112,5,5,62,5.2,5.0
185,41,Non-Binary,Supply Chain,Buyer,Northeast,Full-Time,Evening,35,27.95,237,3,0,77,7.0,
186,65,Non-Binary,Warehouse,Inventory Analyst,West Coast,Part-Time,Afternoon,20,31.62,153,1,14,37,5.9,
187,19,Male,Customer Service,Call Center Agent,Southwest,Full-Time,Morning,45,27.67,10,4,22,44,5.4,3.2
188,36,Female,Supply Chain,Procurement Analyst,Northeast,Part-Time,Rotating,30,19.18,183,5,29,54,5.8,
189,19,Male,Warehouse,Inventory Analyst,Southwest,Full-Time,Afternoon,45,19.93,5,2,20,61,3.2,
190,39,Non-Binary,Customer Service,Call Center Agent,West Coast,Part-Time,Morning,20,22.14,190,1,24,50,3.8,2.9
191,56,Female,Sales Floor,Visual Merchandiser,Midwest,Part-Time,Evening,25,18.76,6,1,31,37,4.3,2.6
192,30,Female,Warehouse,Shift Supervisor,Southwest,Full-Time,Morning,40,29.85,26,2,15,20,4.3,
193,44,Male,Warehouse,Shift Supervisor,Northeast,Full-Time,Evening,50,17.56,131,5,26,41,6.4,
194,60,Female,Sales Floor,Department Lead,Northeast,Part-Time,Afternoon,25,29.89,139,1,15,61,6.1,2.7
195,47,Non-Binary,Supply Chain,Demand Planner,West Coast,Full-Time,Evening,50,13.85,192,3,19,72,3.9,
196,52,Female,Marketing,Social Media Coordinator,Midwest,Part-Time,Rotating,25,35.34,66,3,35,69,6.7,
197,34,Male,Warehouse,Shift Supervisor,Southwest,Full-Time,Rotating,50,21.06,147,1,20,36,3.7,
198,46,Female,Warehouse,Receiving Clerk,West Coast,Full-Time,Rotating,35,21.15,79,4,25,12,5.1,
199,39,Male,Sales Floor,Department Lead,Southeast,Part-Time,Afternoon,25,20.7,148,1,33,50,4.2,3.9
200,64,Female,Sales Floor,Department Lead,Southwest,Full-Time,Afternoon,40,26.67,202,4,31,10,7.5,4.1
201,20,Female,Supply Chain,Procurement Analyst,Midwest,Full-Time,Rotating,45,21.36,12,1,8,51,3.2,
202,57,Male,Warehouse,Inventory Analyst,Midwest,Full-Time,Morning,40,27.68,73,5,34,46,7.8,
203,35,Male,Warehouse,Inventory Analyst,West Coast,Full-Time,Evening,40,26.19,92,4,24,57,7.9,
204,54,Female,Marketing,Brand Analyst,Northeast,Full-Time,Evening,50,37.77,231,2,30,65,3.6,
205,63,Non-Binary,Marketing,Social Media Coordinator,Northeast,Full-Time,Evening,45,38.91,143,4,25,7,7.2,
206,61,Non-Binary,Sales Floor,Cashier,Southwest,Part-Time,Evening,30,15.45,225,5,18,30,6.9,4.8
207,40,Male,Finance,Accountant,Southwest,Full-Time,Rotating,35,37.66,58,3,8,40,5.1,
208,61,Female,Customer Service,Call Center Agent,Southeast,Part-Time,Evening,20,28.73,110,2,21,82,4.6,3.7
209,57,Non-Binary,Customer Service,CS Representative,Southwest,Part-Time,Afternoon,25,21.56,131,5,4,30,5.5,2.6
210,48,Non-Binary,Customer Service,CS Manager,Southeast,Part-Time,Afternoon,25,31.74,77,2,17,84,4.7,3.9
211,59,Non-Binary,Customer Service,CS Representative,Northeast,Full-Time,Afternoon,40,18.01,178,1,15,13,4.0,4.8
212,40,Female,Supply Chain,Buyer,Southwest,Part-Time,Evening,20,13.64,152,2,1,29,4.0,
213,61,Non-Binary,Customer Service,Call Center Agent,Southwest,Part-Time,Evening,25,23.48,111,2,35,31,4.8,4.8
214,51,Non-Binary,Supply Chain,Buyer,Southeast,Part-Time,Evening,30,21.48,129,4,15,44,5.8,
215,48,Male,Sales Floor,Store Manager,Southwest,Full-Time,Afternoon,40,13.59,203,2,4,56,4.0,3.6
216,27,Non-Binary,Warehouse,Receiving Clerk,West Coast,Full-Time,Evening,40,26.06,36,2,29,23,4.8,
217,60,Non-Binary,Warehouse,Forklift Operator,West Coast,Full-Time,Evening,45,13.59,135,2,33,60,3.4,
218,21,Male,Warehouse,Receiving Clerk,Northeast,Full-Time,Morning,35,26.1,19,2,38,53,4.7,
219,65,Non-Binary,Finance,Financial Analyst,Northeast,Part-Time,Rotating,25,23.15,82,1,18,7,4.4,
220,33,Female,Sales Floor,Visual Merchandiser,Midwest,Full-Time,Afternoon,35,31.77,177,3,28,72,6.5,3.0
221,31,Male,Warehouse,Warehouse Worker,West Coast,Full-Time,Afternoon,45,25.23,95,1,7,46,4.9,
222,62,Male,HR,HR Manager,Northeast,Full-Time,Morning,50,25.86,12,3,36,29,4.3,
223,29,Male,HR,Recruiter,Northeast,Part-Time,Rotating,25,16.26,27,5,30,86,6.2,
224,28,Non-Binary,Sales Floor,Department Lead,West Coast,Part-Time,Afternoon,20,27.98,53,2,10,38,4.2,3.9
225,45,Female,Warehouse,Inventory Analyst,West Coast,Part-Time,Rotating,20,30.31,238,3,5,39,4.9,
226,20,Non-Binary,Sales Floor,Visual Merchandiser,Northeast,Part-Time,Evening,20,29.88,10,1,7,78,6.2,4.4
227,43,Female,Warehouse,Forklift Operator,Southwest,Full-Time,Afternoon,40,26.06,154,3,31,67,7.1,
228,27,Female,Supply Chain,Buyer,Southwest,Part-Time,Rotating,30,28.75,41,2,11,44,5.0,
229,64,Male,Marketing,Social Media Coordinator,Northeast,Part-Time,Rotating,30,24.44,195,5,10,68,5.8,
230,19,Female,Warehouse,Inventory Analyst,West Coast,Full-Time,Rotating,40,29.26,2,3,31,10,6.0,
231,34,Non-Binary,Finance,Financial Analyst,Northeast,Part-Time,Evening,20,44.62,70,2,39,38,5.6,
232,22,Male,Customer Service,Returns Specialist,Northeast,Part-Time,Morning,25,25.38,22,2,26,70,5.6,4.1
233,44,Male,Sales Floor,Department Lead,Northeast,Part-Time,Morning,30,29.48,186,4,24,89,6.7,4.8
234,41,Male,Supply Chain,Demand Planner,Southwest,Part-Time,Rotating,25,30.64,148,5,29,55,7.0,
235,45,Female,Warehouse,Warehouse Worker,Southwest,Full-Time,Morning,40,29.41,4,3,7,73,5.4,
236,50,Female,Supply Chain,Buyer,Southeast,Part-Time,Evening,30,20.74,73,5,40,59,5.4,
237,64,Non-Binary,Warehouse,Warehouse Worker,West Coast,Full-Time,Afternoon,40,16.65,41,5,7,38,6.3,
238,28,Female,HR,HR Generalist,Midwest,Full-Time,Afternoon,40,24.44,58,5,14,30,6.3,
239,61,Non-Binary,HR,HR Generalist,West Coast,Part-Time,Morning,25,27.41,148,3,37,79,7.1,
