EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,OverTime,DistanceFromHome,Education,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,PercentSalaryHike,EngagementScore,Attrition
13,54,Female,Divorced,Operations,Operations Manager,2,6642,8,2,5,30,No,20,5,4,3,1,3,1,2,2,0,25,4.9,Yes
14,35,Male,Single,Sales,Sales Manager,2,6062,11,5,3,16,No,28,3,1,4,3,2,3,2,5,3,19,4.6,No
15,31,Female,Single,Sales,Account Executive,1,3448,8,0,5,10,Yes,14,2,3,2,3,4,2,3,6,1,23,3.3,No
16,43,Non-Binary,Single,Operations,Operations Manager,1,3955,13,12,10,19,No,3,4,3,3,4,3,3,3,1,0,21,4.0,Yes
17,39,Male,Married,Engineering,Data Engineer,1,3119,11,10,8,13,No,38,3,1,3,4,3,3,6,4,0,17,9.1,No
18,22,Non-Binary,Single,Engineering,Software Engineer,3,6314,0,0,0,2,No,33,3,3,3,3,4,3,8,1,1,17,7.1,No
19,41,Female,Divorced,Product,UX Designer,3,7367,12,8,0,15,Yes,33,4,4,3,2,1,3,8,5,2,12,6.0,No
20,34,Non-Binary,Divorced,HR,HR Manager,1,2840,2,0,0,5,No,46,4,3,1,2,2,1,1,6,3,14,6.0,Yes
21,37,Female,Divorced,Operations,Project Manager,1,3842,3,3,1,19,No,28,5,3,3,2,4,4,4,6,1,24,9.2,No
22,39,Male,Single,HR,Compensation Analyst,3,7285,14,1,11,16,Yes,15,4,3,3,2,1,4,6,2,3,17,8.8,Yes
23,59,Female,Married,Finance,FP&A Manager,4,13140,30,22,0,36,No,27,5,4,4,2,4,2,4,3,3,11,6.1,No
24,51,Female,Single,Marketing,Brand Manager,3,8403,29,4,19,32,No,12,1,3,1,3,2,4,5,2,3,15,3.5,No
25,52,Male,Single,Finance,Accountant,4,9345,0,0,0,1,Yes,40,2,3,1,4,1,2,7,5,2,23,7.9,No
26,32,Non-Binary,Single,Sales,Account Executive,3,6115,4,0,4,5,Yes,38,2,2,4,3,1,1,5,4,3,21,5.6,Yes
27,48,Female,Single,Sales,Sales Manager,1,3180,26,15,3,30,Yes,42,3,3,4,4,4,4,9,2,2,24,7.6,Yes
28,37,Male,Married,Operations,Facilities Coordinator,4,12009,14,9,9,15,Yes,23,3,3,4,3,1,2,1,1,3,18,8.5,No
29,53,Non-Binary,Married,Engineering,Engineering Manager,3,6418,14,12,0,29,Yes,36,5,3,2,3,3,4,4,2,2,14,5.0,Yes
30,33,Male,Married,Engineering,Software Engineer,3,7244,3,1,3,6,No,24,2,3,3,2,3,1,0,4,2,22,9.4,No
31,22,Female,Single,Marketing,Brand Manager,1,3192,0,0,0,0,Yes,26,4,2,1,1,2,2,9,2,0,14,4.6,Yes
32,46,Non-Binary,Single,HR,Recruiter,3,7338,14,14,7,23,No,48,1,4,4,2,2,3,1,1,1,13,5.0,No
33,60,Male,Married,Engineering,Engineering Manager,2,4694,15,9,1,40,No,41,5,3,4,2,4,1,8,1,1,25,3.5,No
34,41,Female,Divorced,Engineering,Software Engineer,1,3190,19,18,9,23,No,32,4,2,3,1,4,3,9,2,0,12,7.5,Yes
35,39,Non-Binary,Married,Marketing,Marketing Analyst,5,15559,1,0,1,21,No,32,1,3,3,4,3,3,1,6,1,16,4.2,No
36,57,Male,Divorced,Sales,BDR,4,9887,1,1,0,35,Yes,30,4,2,4,3,4,4,0,1,2,19,8.6,Yes
37,23,Male,Married,Engineering,QA Engineer,2,5652,0,0,0,0,No,42,2,3,1,3,3,4,7,3,1,18,4.5,No
38,39,Non-Binary,Divorced,Product,UX Designer,4,11046,13,5,12,20,No,10,4,3,3,3,3,4,7,2,1,22,7.7,Yes
39,52,Male,Single,Product,UI Designer,1,4179,22,12,12,30,No,38,3,4,2,4,1,4,0,5,1,17,6.2,No
40,38,Non-Binary,Divorced,Operations,Operations Manager,2,5949,10,9,6,17,No,35,1,3,4,2,3,2,1,3,0,23,9.2,No
41,41,Male,Divorced,Finance,FP&A Manager,1,3833,0,0,0,13,Yes,37,2,2,3,1,4,2,7,4,1,14,5.8,No
42,51,Female,Divorced,Engineering,Staff Engineer,3,8459,28,9,21,31,Yes,45,3,3,3,3,2,4,7,0,1,17,9.4,No
43,47,Male,Divorced,Sales,Sales Manager,1,4039,8,0,0,19,No,15,2,3,3,2,1,1,4,6,3,11,8.0,No
44,42,Female,Single,HR,HR Generalist,4,8792,13,2,3,17,No,31,3,4,3,3,1,4,1,1,1,24,6.5,No
45,57,Non-Binary,Divorced,Marketing,Brand Manager,5,11316,11,1,6,19,No,38,4,4,4,3,1,2,7,0,2,25,5.4,No
46,41,Male,Divorced,Marketing,Brand Manager,4,8272,13,1,2,15,Yes,25,4,3,4,4,2,4,1,6,3,20,3.8,No
47,35,Non-Binary,Married,Operations,Operations Manager,3,9849,7,7,3,7,Yes,26,3,2,3,1,4,1,3,5,0,11,6.5,No
48,35,Non-Binary,Single,Engineering,Senior Engineer,3,9658,1,0,0,9,Yes,10,2,3,2,2,1,1,2,0,2,23,8.1,No
49,25,Male,Married,Sales,Account Executive,1,3742,1,1,0,5,No,15,5,1,3,3,4,1,0,3,3,17,6.3,No
50,27,Non-Binary,Divorced,Sales,BDR,1,2518,2,2,0,6,Yes,30,5,3,3,1,1,2,6,3,1,17,5.5,Yes
51,42,Male,Single,Product,UI Designer,3,7147,13,5,10,19,No,7,3,4,4,1,3,1,6,2,3,24,3.4,No
52,44,Non-Binary,Married,Engineering,Staff Engineer,3,8955,3,1,1,6,Yes,49,3,3,1,4,1,3,0,1,2,22,5.3,No
53,31,Non-Binary,Single,Operations,Facilities Coordinator,1,2655,9,6,1,12,No,27,4,3,1,3,3,3,9,4,0,25,3.6,Yes
54,27,Non-Binary,Single,Engineering,DevOps Engineer,1,3163,2,1,2,7,No,28,1,3,4,4,3,1,3,3,0,11,4.8,Yes
55,40,Non-Binary,Single,Operations,IT Support,3,8238,10,1,0,18,No,36,3,2,2,1,4,1,7,0,2,20,5.5,No
56,47,Male,Single,Product,UI Designer,2,6403,0,0,0,13,No,38,4,3,3,4,3,3,3,2,1,12,3.6,No
57,44,Male,Divorced,Engineering,DevOps Engineer,1,3867,11,11,10,15,Yes,49,1,2,2,4,4,4,9,5,2,24,4.7,No
58,50,Female,Single,Engineering,Engineering Manager,1,3464,20,9,8,20,Yes,24,3,2,1,1,4,4,9,4,0,18,5.0,No
59,52,Male,Divorced,Sales,Sales Rep,2,5351,16,4,1,21,No,3,2,4,3,4,2,3,5,2,3,17,9.4,No
60,43,Non-Binary,Divorced,Marketing,Marketing Analyst,3,8510,2,1,0,6,Yes,22,1,3,3,2,3,3,6,1,0,15,7.7,No
61,55,Male,Married,Marketing,Growth Manager,4,10540,2,2,2,33,Yes,13,2,4,3,2,1,3,1,4,0,21,5.0,No
62,31,Male,Married,HR,Recruiter,3,9469,2,0,2,7,No,44,2,4,2,3,4,2,8,1,2,23,7.7,No
63,58,Male,Divorced,Operations,IT Support,2,4845,14,7,12,18,Yes,17,1,3,4,3,1,1,4,0,1,15,9.3,No
64,36,Male,Married,Sales,BDR,1,4074,13,7,5,13,No,24,2,1,4,1,3,2,2,0,2,25,6.3,No
65,52,Non-Binary,Divorced,Marketing,Content Strategist,3,10076,14,9,0,33,Yes,34,4,2,2,3,2,3,1,0,1,17,8.4,No
66,53,Male,Divorced,Marketing,Marketing Analyst,1,3537,19,17,0,30,No,16,5,3,2,1,3,1,8,4,0,17,4.9,No
67,38,Non-Binary,Married,Engineering,Engineering Manager,5,14096,0,0,0,4,No,3,3,3,1,2,4,4,2,6,1,12,8.0,No
68,24,Non-Binary,Single,Operations,Operations Manager,2,6800,0,0,0,2,No,23,1,4,4,3,3,1,5,3,3,22,4.6,No
69,53,Male,Married,Operations,Facilities Coordinator,5,18964,22,15,11,31,No,12,5,3,1,1,1,3,4,2,3,20,7.7,No
70,24,Non-Binary,Married,Engineering,Engineering Manager,2,6994,2,1,2,4,Yes,33,2,4,1,2,4,1,2,0,1,23,3.5,Yes
71,50,Non-Binary,Married,Product,Product Manager,3,9433,11,5,7,18,No,8,1,4,3,4,4,1,4,6,2,22,5.6,No
72,53,Non-Binary,Married,Operations,Facilities Coordinator,3,9837,6,0,1,27,No,23,1,3,4,3,3,2,2,6,2,19,9.5,No
73,53,Male,Single,Operations,IT Support,1,3241,0,0,0,19,No,26,4,3,2,4,1,2,5,5,0,18,7.0,No
74,57,Non-Binary,Single,Sales,Sales Rep,4,12606,20,18,5,29,Yes,11,2,3,1,2,3,3,1,2,1,21,8.4,No
75,56,Non-Binary,Divorced,Engineering,QA Engineer,2,4505,2,2,2,23,No,37,1,4,2,1,1,1,9,2,1,23,4.1,No
76,62,Male,Divorced,Sales,Account Executive,2,5448,17,9,9,18,No,11,4,3,4,4,2,3,9,1,2,24,4.9,No
77,30,Male,Single,HR,HR Manager,5,12091,5,4,4,6,Yes,4,3,4,1,4,2,2,5,4,2,14,4.7,No
78,41,Female,Single,Sales,BDR,2,6835,15,0,2,15,No,19,4,3,2,4,3,1,1,3,1,25,4.4,No
79,47,Female,Divorced,Product,UI Designer,2,5659,1,0,1,22,Yes,40,1,2,4,1,4,3,5,4,2,23,8.0,Yes
80,24,Non-Binary,Single,Sales,BDR,2,6411,0,0,0,2,No,40,3,2,2,3,3,4,9,2,3,24,6.9,Yes
81,59,Non-Binary,Married,Engineering,Software Engineer,5,15186,9,0,9,19,No,34,5,4,2,4,2,2,0,4,0,14,7.7,Yes
82,35,Non-Binary,Single,Engineering,Senior Engineer,2,5834,6,4,6,14,No,21,4,3,1,3,2,4,8,2,2,21,7.6,No
83,34,Non-Binary,Single,HR,HR Manager,3,7011,3,2,2,14,No,46,4,3,3,3,3,3,1,4,3,25,8.0,No
84,40,Non-Binary,Married,Finance,Controller,2,5967,2,1,1,19,No,45,3,2,2,2,2,1,8,1,1,11,4.3,Yes
85,30,Male,Married,Engineering,Engineering Manager,1,3575,0,0,0,5,No,19,1,4,4,1,2,1,2,3,1,25,6.1,No
86,33,Female,Married,Operations,Project Manager,3,6041,11,4,0,14,No,42,5,3,1,2,4,3,3,6,0,16,9.0,Yes
87,22,Non-Binary,Married,Product,Product Analyst,3,6789,0,0,0,0,No,26,1,2,4,2,4,3,3,0,2,17,8.4,No
88,58,Male,Married,HR,HR Manager,2,6078,0,0,0,32,Yes,46,3,3,1,3,3,2,3,1,3,13,6.0,No
89,57,Non-Binary,Divorced,Operations,Facilities Coordinator,2,5612,29,15,24,30,No,34,4,3,2,3,1,1,0,6,1,20,8.0,No
90,29,Non-Binary,Married,Engineering,Data Engineer,2,6696,3,3,0,10,No,37,1,3,1,3,1,4,4,6,0,22,5.9,Yes
91,26,Male,Divorced,Engineering,Engineering Manager,2,6958,4,0,0,7,No,24,4,3,3,4,4,1,8,1,2,12,5.7,Yes
92,36,Male,Single,Sales,Sales Rep,3,6102,13,0,12,16,Yes,23,2,3,4,1,1,4,9,6,0,14,6.5,Yes
93,25,Female,Single,Engineering,Software Engineer,2,5316,1,0,1,7,No,47,5,3,1,3,2,3,2,5,1,17,3.9,Yes
94,33,Non-Binary,Married,Engineering,DevOps Engineer,4,11335,10,10,6,14,Yes,21,4,3,3,3,4,2,8,3,1,24,9.1,Yes
95,25,Female,Married,Finance,Controller,4,10330,3,3,1,3,Yes,35,2,2,3,4,1,1,3,6,1,18,7.2,Yes
96,22,Non-Binary,Single,Operations,Facilities Coordinator,5,17473,0,0,0,3,No,16,5,3,2,3,4,4,8,5,2,15,7.5,No
97,52,Male,Married,Sales,BDR,2,5112,24,10,6,32,No,38,5,4,2,3,2,2,5,1,3,20,7.8,No
98,53,Non-Binary,Divorced,Sales,Sales Manager,2,6218,30,23,20,33,No,12,5,4,3,1,1,1,0,6,0,17,4.1,Yes
99,22,Male,Single,Marketing,Marketing Analyst,3,6272,0,0,0,4,No,36,4,1,4,3,3,1,8,6,3,23,7.3,No
100,37,Female,Married,Engineering,Software Engineer,2,4757,6,4,4,15,Yes,16,2,3,4,1,1,1,6,3,3,19,3.5,Yes
101,49,Non-Binary,Divorced,Marketing,Content Strategist,1,4159,20,10,18,27,No,18,1,4,1,3,1,2,5,0,1,20,4.5,Yes
102,41,Non-Binary,Single,Finance,FP&A Manager,4,11400,5,4,1,7,No,33,3,2,3,4,2,1,5,4,3,23,5.5,No
103,44,Non-Binary,Married,Marketing,Brand Manager,2,4557,17,12,13,20,No,46,1,2,4,2,4,2,6,2,2,12,3.6,Yes
104,39,Male,Married,Operations,Project Manager,2,4562,3,1,0,20,No,6,5,3,4,3,4,1,4,3,3,23,3.7,Yes
105,32,Male,Married,Operations,IT Support,3,6624,10,6,2,12,Yes,27,3,3,4,1,3,3,3,5,3,20,3.9,No
106,47,Non-Binary,Divorced,Product,UX Designer,2,6412,10,9,6,14,Yes,20,3,3,3,2,4,3,2,3,2,15,5.8,No
107,39,Non-Binary,Single,Marketing,Content Strategist,2,6796,12,5,1,19,Yes,46,2,3,2,3,1,4,7,1,2,14,7.4,Yes
108,26,Female,Divorced,Engineering,Engineering Manager,3,8404,3,3,3,7,No,39,1,2,4,2,3,2,9,0,3,23,6.5,No
109,38,Male,Married,HR,HR Generalist,1,3073,7,3,7,8,No,19,4,4,2,1,1,2,5,2,2,18,5.2,No
110,50,Female,Divorced,Sales,Sales Manager,2,4956,23,22,14,24,Yes,44,2,4,1,2,2,2,5,4,3,18,3.1,Yes
111,49,Non-Binary,Single,Product,UX Designer,1,3505,12,0,11,18,Yes,18,1,3,4,2,3,3,3,3,0,15,5.5,No
112,61,Non-Binary,Married,Sales,Sales Manager,3,7565,12,9,1,17,No,44,2,3,2,2,3,1,2,2,1,19,8.3,No
113,53,Male,Single,Sales,BDR,2,6792,20,17,20,30,Yes,29,5,2,2,3,1,4,2,1,3,19,6.2,Yes
114,50,Female,Single,Sales,BDR,2,5696,15,5,2,32,No,19,2,4,2,4,1,1,4,6,2,19,4.9,No
115,35,Male,Married,Engineering,QA Engineer,2,6490,6,0,5,10,No,23,1,3,3,1,2,2,9,5,2,24,8.7,No
116,35,Male,Married,Marketing,Content Strategist,3,6267,13,3,12,15,Yes,19,5,3,3,1,2,4,0,2,1,22,6.9,No
117,37,Male,Divorced,Engineering,QA Engineer,2,5732,12,7,2,13,Yes,26,5,4,4,3,4,4,5,4,0,24,5.4,No
118,44,Female,Married,HR,Compensation Analyst,3,6980,2,2,1,12,No,36,5,2,2,4,3,1,0,0,3,11,6.2,Yes
119,49,Female,Married,Finance,FP&A Manager,2,6646,6,5,1,8,Yes,24,2,2,3,3,2,4,1,5,0,11,3.6,No
120,50,Female,Single,Engineering,DevOps Engineer,1,3870,0,0,0,14,No,25,1,4,4,1,1,3,5,2,1,17,7.5,No
121,31,Non-Binary,Divorced,HR,Recruiter,3,7980,1,0,0,8,No,14,1,4,2,2,1,4,5,3,2,23,9.0,Yes
122,60,Non-Binary,Divorced,Engineering,Software Engineer,1,3802,19,19,9,25,No,48,4,3,3,1,2,4,6,0,1,18,4.3,No
123,42,Male,Single,Engineering,Software Engineer,5,14735,4,3,4,22,No,5,1,3,2,1,1,4,8,2,3,17,8.0,No
124,31,Female,Divorced,Engineering,DevOps Engineer,2,4237,4,0,2,5,No,20,4,4,2,2,1,2,1,3,0,18,6.5,No
125,33,Non-Binary,Married,Engineering,QA Engineer,3,9156,1,0,0,3,Yes,24,2,4,3,3,1,1,5,6,3,15,6.4,No
126,53,Female,Single,Engineering,DevOps Engineer,3,6249,14,8,5,32,No,44,1,3,2,1,1,1,3,0,3,16,5.4,Yes
127,48,Non-Binary,Married,Engineering,Data Engineer,1,3149,7,5,3,10,No,33,1,2,3,1,4,1,7,6,2,23,8.4,No
128,45,Non-Binary,Married,Engineering,DevOps Engineer,2,6353,6,2,4,12,No,47,5,4,2,2,2,1,6,0,1,19,6.0,Yes
129,22,Male,Single,Finance,Financial Analyst,5,12923,0,0,0,2,No,6,1,4,4,4,3,4,1,4,0,19,6.2,No
130,25,Non-Binary,Married,Finance,Financial Analyst,3,7312,3,1,1,5,No,29,3,3,4,2,2,1,2,0,1,18,7.6,No
131,35,Female,Divorced,Product,Product Analyst,5,13426,7,4,7,16,Yes,3,2,4,2,3,2,1,3,2,3,19,8.2,Yes
132,23,Male,Single,Engineering,Data Engineer,5,11995,1,1,0,2,Yes,13,4,3,2,1,3,1,0,0,1,25,3.8,Yes
133,43,Female,Married,Finance,Financial Analyst,4,8303,3,0,3,3,No,25,4,2,4,2,2,3,4,3,1,11,8.3,No
134,57,Non-Binary,Single,Sales,Sales Manager,2,4839,15,1,2,35,Yes,35,1,4,2,3,4,4,5,4,2,17,7.2,Yes
135,39,Non-Binary,Single,Engineering,DevOps Engineer,1,3780,1,1,1,9,No,35,1,4,2,2,4,3,2,1,1,20,3.7,Yes
136,23,Male,Married,HR,HR Manager,4,13020,1,0,0,1,No,6,1,3,4,2,1,4,0,2,1,23,6.5,Yes
137,31,Non-Binary,Married,Marketing,Growth Manager,1,3923,9,2,1,13,No,7,3,3,1,2,2,4,7,5,2,13,5.4,No
138,59,Male,Divorced,Sales,Sales Manager,1,2952,26,5,12,38,No,50,5,1,2,3,2,1,7,1,2,22,4.2,Yes
139,27,Male,Divorced,Engineering,Staff Engineer,1,3712,5,5,5,5,Yes,23,3,4,1,1,1,4,7,5,3,13,4.7,No
140,46,Female,Married,Sales,BDR,2,4487,3,3,1,6,Yes,5,3,2,1,4,2,1,8,0,2,20,4.9,No
141,32,Non-Binary,Divorced,Operations,Operations Manager,2,4160,9,6,2,14,Yes,35,3,3,2,3,2,1,0,3,3,13,5.7,Yes
142,62,Female,Single,Engineering,Software Engineer,2,4290,19,15,6,28,Yes,26,4,3,3,3,1,4,2,2,3,16,9.4,Yes
143,36,Female,Divorced,Engineering,Engineering Manager,2,4184,13,4,9,16,No,49,5,3,1,1,4,4,8,5,3,20,3.6,No
144,24,Female,Single,Sales,Account Executive,2,6401,2,2,2,3,No,14,2,2,2,4,1,4,3,6,1,24,3.8,No
145,26,Male,Divorced,Engineering,QA Engineer,4,11312,0,0,0,8,No,27,1,3,4,2,1,1,9,6,0,23,9.0,No
146,38,Male,Divorced,Sales,Sales Manager,4,11432,12,10,7,18,No,3,4,4,2,3,2,1,7,2,2,11,4.8,Yes
147,53,Non-Binary,Married,HR,HR Manager,2,4294,27,22,21,32,No,18,4,3,2,1,2,4,3,6,3,22,5.0,No
148,54,Non-Binary,Divorced,Sales,Sales Manager,4,9866,25,5,2,25,No,12,2,4,2,2,1,2,0,3,0,25,8.1,No
149,54,Male,Married,Engineering,Staff Engineer,4,12087,12,10,1,30,Yes,36,3,3,4,3,1,3,0,3,0,13,6.9,No
150,36,Male,Divorced,HR,Recruiter,4,11909,10,3,4,12,No,39,1,3,1,3,3,4,6,6,2,18,6.1,Yes
151,22,Non-Binary,Married,Product,UI Designer,3,9079,0,0,0,2,No,17,3,2,3,2,1,4,5,5,1,22,9.4,Yes
152,48,Non-Binary,Single,Sales,Sales Manager,2,4105,12,6,11,29,No,41,4,4,2,3,3,2,8,1,2,12,5.2,No
153,43,Female,Married,HR,Recruiter,4,10131,20,2,7,22,No,38,3,3,3,1,4,1,9,4,0,18,5.7,No
154,48,Non-Binary,Single,Sales,BDR,2,6977,1,0,0,25,Yes,6,4,3,4,2,3,1,0,3,2,14,3.9,No
155,27,Non-Binary,Single,Engineering,Data Engineer,1,3126,1,1,1,6,No,1,3,4,4,2,1,1,3,1,2,15,3.0,Yes
156,24,Non-Binary,Single,Product,Product Analyst,1,3710,1,1,1,3,No,32,3,4,3,2,4,1,3,1,1,14,5.8,No
157,24,Male,Single,Sales,Sales Rep,1,3469,1,1,0,6,Yes,8,4,3,1,1,3,4,2,1,0,15,7.2,Yes
158,60,Male,Married,Engineering,DevOps Engineer,2,6491,22,4,13,28,Yes,39,2,4,1,2,3,4,4,1,0,19,4.8,Yes
159,22,Non-Binary,Single,Engineering,Engineering Manager,2,6505,0,0,0,0,No,17,2,3,2,3,3,4,0,0,1,24,9.2,Yes
160,49,Non-Binary,Divorced,Engineering,Data Engineer,3,9830,23,3,3,25,No,22,3,4,1,3,1,3,5,1,0,17,8.5,No
161,52,Male,Single,Product,UI Designer,3,9987,25,13,20,26,Yes,27,5,3,2,4,2,4,5,4,0,24,7.5,No
162,53,Non-Binary,Divorced,Finance,Controller,2,4137,3,3,3,17,Yes,43,3,3,3,1,4,2,7,2,3,13,3.1,No
163,32,Female,Married,Sales,Account Executive,1,3964,8,7,7,8,Yes,33,2,3,4,4,4,2,1,3,3,23,5.1,No
164,29,Non-Binary,Divorced,Engineering,Engineering Manager,2,5210,7,0,1,9,Yes,33,5,3,1,4,3,3,0,6,1,24,8.4,Yes
165,45,Non-Binary,Married,Sales,BDR,3,6438,22,14,3,26,No,34,3,4,1,1,2,4,2,6,3,12,5.2,No
166,47,Male,Divorced,Engineering,Software Engineer,4,12688,6,3,6,27,No,38,1,4,1,4,4,2,7,0,0,19,7.9,No
167,33,Non-Binary,Married,Finance,FP&A Manager,4,12382,11,9,2,15,Yes,25,4,4,4,2,3,4,5,2,3,23,7.3,Yes
168,57,Non-Binary,Divorced,Product,Product Analyst,4,12420,27,10,22,31,No,44,3,4,2,2,2,3,1,6,2,19,4.3,No
169,56,Male,Single,Sales,BDR,3,8352,9,6,0,17,Yes,49,2,4,2,3,2,1,4,1,0,16,3.3,No
170,57,Male,Married,Engineering,Data Engineer,3,8912,27,7,23,33,Yes,27,3,4,3,1,1,3,3,4,3,24,7.5,Yes
171,56,Non-Binary,Single,Marketing,Growth Manager,3,9492,23,19,6,28,No,12,5,2,3,1,4,3,8,2,1,13,5.9,No
172,31,Non-Binary,Divorced,Engineering,Staff Engineer,2,5790,0,0,0,5,No,5,3,3,3,2,1,2,6,4,3,12,6.2,No
173,40,Female,Married,Operations,Facilities Coordinator,2,5591,6,6,4,13,No,42,5,4,1,2,1,3,6,6,0,17,3.7,Yes
174,45,Male,Single,HR,HR Generalist,4,10920,16,16,14,18,Yes,50,5,3,2,1,2,2,6,6,0,14,5.1,No
175,26,Female,Divorced,Marketing,Brand Manager,3,9225,1,0,1,2,Yes,37,2,4,1,4,4,4,6,3,2,11,3.4,Yes
176,61,Male,Married,Engineering,Software Engineer,3,6204,2,2,2,21,No,39,1,3,3,4,4,4,0,3,1,19,9.0,No
177,31,Non-Binary,Divorced,HR,HR Manager,5,15849,4,2,0,10,No,35,5,4,1,3,2,3,3,3,1,13,3.3,No
178,33,Male,Married,Sales,Sales Manager,1,3932,10,9,0,15,No,5,3,2,4,4,3,3,2,5,1,12,7.2,No
179,50,Female,Single,Engineering,Senior Engineer,2,4917,10,9,10,10,No,21,2,4,3,4,3,3,2,5,2,25,8.3,No
180,28,Non-Binary,Single,Product,Product Analyst,2,6576,1,0,1,2,Yes,2,5,3,2,4,2,1,8,2,3,21,4.7,No
181,59,Male,Divorced,Product,UX Designer,4,10788,23,9,4,30,No,40,2,4,4,2,4,2,2,4,1,22,5.4,No
182,53,Female,Married,Operations,Operations Manager,1,3064,7,1,4,22,Yes,30,1,1,2,3,1,3,4,4,1,17,6.4,No
183,46,Male,Divorced,Product,Product Manager,2,6451,7,6,5,11,Yes,29,2,3,4,3,2,2,2,1,2,20,8.8,No
184,43,Male,Single,Engineering,Senior Engineer,2,5437,3,3,3,21,No,38,2,2,4,1,2,1,2,2,1,19,3.1,No
185,40,Female,Divorced,Sales,Account Executive,4,11639,2,0,1,6,No,38,2,3,4,3,2,3,7,4,0,14,4.1,No
186,54,Non-Binary,Divorced,Engineering,Software Engineer,1,3489,21,13,4,24,Yes,6,4,3,1,1,4,4,5,6,0,22,8.7,Yes
187,46,Female,Married,Engineering,Data Engineer,2,6723,11,9,11,18,No,6,3,3,1,4,3,2,0,5,0,20,5.8,No
188,42,Non-Binary,Married,Sales,BDR,3,6696,13,5,1,22,No,24,5,3,3,4,2,4,8,6,3,13,4.7,No
189,58,Female,Divorced,Sales,Sales Manager,5,17380,11,11,6,16,No,7,2,3,1,3,1,2,6,5,0,23,7.9,Yes
190,26,Female,Divorced,Engineering,DevOps Engineer,2,4240,2,0,1,7,Yes,34,3,4,4,1,2,4,7,0,1,24,9.0,No
191,60,Male,Single,Finance,Accountant,1,3507,16,16,7,18,No,18,4,3,3,4,4,2,8,0,0,25,4.6,Yes
192,59,Non-Binary,Single,Engineering,Data Engineer,3,7018,11,5,4,19,No,12,4,3,4,1,3,3,1,6,2,25,9.0,No
193,46,Non-Binary,Single,HR,HR Manager,3,9408,18,15,7,25,No,8,3,2,4,2,2,3,6,2,0,22,7.4,No
194,43,Non-Binary,Divorced,Engineering,Software Engineer,2,5429,2,2,0,8,Yes,32,2,3,3,2,3,2,3,1,1,24,4.2,No
195,27,Female,Divorced,Engineering,Software Engineer,1,3504,5,5,3,7,No,32,5,4,1,4,2,3,6,1,1,11,8.5,No
196,47,Male,Single,Product,Product Manager,2,6929,21,5,14,24,No,25,5,2,4,3,3,2,8,2,1,15,5.1,No
197,49,Male,Divorced,Sales,Sales Manager,1,3753,6,3,5,10,Yes,37,2,4,4,3,2,4,6,1,1,23,4.8,No
198,48,Non-Binary,Single,Engineering,Data Engineer,1,3813,15,4,10,16,Yes,14,3,3,1,1,4,3,4,2,2,19,5.6,Yes
199,29,Female,Married,Finance,Accountant,1,2758,5,5,4,7,No,44,5,3,2,4,1,4,9,2,3,21,9.4,No
200,61,Female,Divorced,Finance,Accountant,2,4237,18,12,2,26,Yes,39,4,3,3,4,3,4,6,1,1,24,5.1,Yes
